PALABRAS;APELLIDO;NOMBRE
18912;Fellner;Eduardo 
14688;Ibarra;Vilma 
14655;Rossi;Agustín 
13134;Prat Gay;Alfonso 
12484;Gil Lavedra;Ricardo 
9747;Stolbizer;Margarita 
9328;Favario;Carlos 
8100;Tunessi;Juan Pedro
7938;Solá;Felipe 
7785;Pais;Juan Mario
7688;Rodríguez;Marcela 
7523;Macaluse;Eduardo 
7440;Pinedo;Federico 
6984;Heller;Carlos 
6639;Iglesias;Fernando 
6631;Albrieu;Oscar 
6516;Bullrich;Patricia 
6342;Ferrari;Gustavo 
5550;Comi;Carlos 
5451;Piemonte;Héctor 
5506;Martínez;Ernesto 
5299;Lozano;Claudio 
5157;Fadul;Liliana 
4694;Fortuna;Francisco 
4040;Giubergia;Miguel 
3985;Donda;Victoria 
3841;Amadeo;Eduardo 
3647;Camaño;Graciela 
3535;Aguad;Oscar 
3463;Comelli;Alicia 
3451;Di Tullio;Juliana 
3346;Chieno;María Elena
3239;Triaca;Alberto 
3127;Thomas;Enrique 
3111;Michetti;Gabriela 
2967;Basteiro;Sergio Ariel
2908;Martínez;Julio César
2793;De Marchi;Omar 
2786;Vega;Juan Carlos
2784;Mouillerón;Roberto 
2752;Fiad;Mario 
2730;Gambaro;Natalia 
2659;Wayar;Walter 
2598;Viale;Lisandro 
2565;Parada;Liliana 
2543;Fadel;Patricia 
2541;Cigogna;Luis 
2539;Forte;Ulises 
2523;Robledo;Roberto 
2393;Solanas;Fernando 
2382;Bertol;Paula María
2260;Morán;Juan Carlos
2243;Linares;María Virginia
2182;Bianchi;Ivana 
2103;López Arias;Marcelo 
2087;Brillo;José 
1992;Germano;Daniel 
1953;Milman;Gerardo 
1840;Dato;Alfredo 
1820;Godoy;Ruperto 
1762;Giudici;Silvana 
1741;Segarra;Adela 
1712;Obiglio;Julián 
1646;Argumedo;Alcira 
1644;Oliva;Cristian 
1640;Cejas;Jorge 
1636;Yarade;Fernando 
1604;Prieto;Hugo 
1604;Moreno;Carlos 
1548;Sabbatella;Martín 
1545;Obeid;Jorge 
1517;Flores;Héctor 
1505;Buryaile;Ricardo 
1499;Orsolini;Pablo 
1485;Vázquez;Silvia 
1431;Fein;Mónica 
1422;Cardelli;Jorge 
1408;Morejón;Manuel 
1396;Gil Lozano;Fernanda 
1392;Alonso;Laura 
1371;Portela;Agustín 
1328;Carrió;Elisa 
1317;Regazzoli;María C.
1297;Satragno;Lidia 
1286;Alvarez;Elsa María
1280;Alfonsín;Ricardo 
1273;Alvarez;Jorge 
1255;Morante;Antonio 
1254;Ciciliani;Alicia 
1216;Terada;Alicia 
1209;Recalde;Héctor 
1200;Ferrá;de Bartol,Margarita
1199;Guzmán;Olga 
1176;Yoma;Jorge 
1158;Barrios;Miguel Angel
1124;Cortina;Roy 
1107;Reyes;María Fernanda
1089;Benedetti;Atilio 
1086;Bonasso;Miguel 
1085;Atanasof;Alfredo 
1085;Puiggrós;Adriana 
1079;Aspiazu;Lucio 
1070;Perié;Julia 
1054;Depetri;Edgardo 
1040;Areta;María 
1018;Storani;María Luisa
1001;Casañas;Juan 
998;Castañón;Hugo 
988;Córdoba;Stella Maris
952;Abdala;Norma 
945;Katz;Daniel 
933;Barbieri;Mario 
903;Plaini;Francisco 
899;Conti;Diana 
897;Chiquichano;Rosa 
894;Costa;Eduardo 
834;Cusinato;Gustavo 
828;Quiroga;Horacio 
820;Gribaudo;Christian 
800;Peralta;Fabián 
790;Hotton;Cynthia 
760;Alfaro;Germán 
756;Paredes Urquiza;Alberto 
741;Re;Hilma 
710;Baldata;Griselda 
699;Bedano;Nora 
690;Gallardo;Miriam 
689;Brue;Daniel 
687;De la Rosa;María Graciela
684;Acosta;María Julia
611;Carlotto;Remo 
602;Molas;Pedro 
597;Pilatti Vergara;María 
587;Giannettasio;Graciela 
560;Pérez;Jorge Raúl*
546;Alvarez;Juan José
536;Carranza;Carlos 
535;Mansur;Ricardo 
527;Calchaquí;Mariel 
502;Mendoza;Sandra 
501;Juri;Mariana 
477;Cremer;María C.
471;Scalesi;Juan Carlos
465;Bidegain;Gloria 
464;Merchán;Paula Cecilia
446;Alvaro;Héctor Jorge
436;García;Susana 
398;Rossi;Cipriana 
397;Landau;Jorge 
382;Nebreda;Carmen 
370;Llera;Timoteo 
334;Fernández;Rodolfo 
329;Lanceta;Rubén 
308;Tomas;Héctor 
294;González;Nancy 
255;Belous;Nélida 
248;Storni;Silvia 
204;Vargas Aignasse;Gerónimo 
193;Díaz Roig;Juan Carlos
168;Olmedo;Alfredo 
165;Rossi;Alejandro 
155;Marconato;Gustavo 
100;Majdalani;Silvia 
90;Carca;Elisa 
85;Erro;Norberto 
79;Gullo;Juan Carlos
59;Castaldo;Norah 
59;Vilariño;José 
39;Pérez;Adrián 
34;Arbo;José 
22;Alcuaz;Horacio 
21;Kunkel;Carlos 
20;Rucci;Claudia 
14;González;Juan Dante
10;Garnero;Estela 
9;Sciutto;Rubén 
8;Chemes;Jorge 
7;Benas;Verónica 
7;Martínez Oddone;Heriberto 
0;Agosto;Walter -
0;Aguirre de Soria;Hilda 
0;Alizegui;Antonio -
0;Alonso;Gumersindo -
0;Arena;María -
0;Argüello;Octavio -
0;Asef;Daniel -
0;Barrandeguy;Raúl -
0;Bernal;María Eugenia
0;Bertone;Rosana -
0;Blanco de Peralta;Blanca 
0;Caselles;Graciela -
0;Cuccovillo;Ricardo -
0;Currilén;Oscar -
0;Daher;Zulema -
0;Damilano Grivarello;Viviana 
0;De Narváez;Francisco 
0;Del Campillo;Héctor 
0;Díaz;Susana -
0;Díaz Bancalari;José M.
0;Donkin;Carlos -
0;Dutto;Gustavo -
0;Espíndola;Gladys -
0;Faustinelli;Hipólito -
0;Félix;Omar -
0;Fiol;Paulina -
0;Forconi;Juan Carlos
0;García;Irma Adriana
0;García;María Teresa
0;Gardella;Patricia -
0;Gioja;Juan Carlos
0;González;Gladys -
0;Granados;Dulce -
0;Herrera;José Alberto
0;Ibarra;Eduardo -
0;Irrazábal;Juan Manuel
0;Iturraspe;Nora -
0;Kenny;Eduardo -
0;Korenfeld;Beatriz -
0;Ledesma;Julio -
0;Leguizamón;María Laura
0;Leverberg;Stella Maris
0;Llanos;Ermindo -
0;López;Rafael -
0;Lorges;Juan Carlos
0;Luna de Marcos;Ana 
0;Martiarena;Mario -
0;Martínez;Soledad -
0;Mazzarella;Susana -
0;Mera;Dalmacio -
0;Merlo;Mario -
0;Montoya;Jorge -
0;Pansa;Sergio -
0;Paroli;Raúl -
0;Pasini;Ariel -
0;Pastoriza;Mirta -
0;Pereyra;Guillermo -
0;Pérez;Alberto José
0;Perié;Hugo *
0;Perroni;Ana María
0;Pinto;Sergio -
0;Puerta;Ramón -
0;Quintero;Marta -
0;Quiroz;Elsa -
0;Rioboó;Sandra -
0;Risko;Silvia -
0;Rivara;Raúl -
0;Rivas;Jorge -
0;Rodríguez;Evaristo -
0;Salim;Juan -
0;Serebrinsky;Gustavo -
0;Sluga;Juan Carlos
0;Torfe;Mónica -
0;Urlich;Carlos -
0;Veaute;Mariana -
0;Videla;Nora -
0;West;Mariano -
0;Zavallo;Gustavo -
0;Ziegler;Alex -
10158;Domínguez;Julián 
3734;Garrido;Manuel 
2528;Feletti;Roberto 
1805;Raimundi;Carlos 
1605;Junio;Juan Carlos
1127;De Gennaro;Víctor 
1013;Rogel;Fabián 
1000;Harispe;Gastón 
988;Asseff;Alberto 
924;Vaquié;Enrique 
879;Zabalza;Juan Carlos
835;Santín;Eduardo 
695;Calcagno;Eric 
689;Gutiérrez;Mónica 
653;Tonelli;Pablo 
538;Duclos;Omar 
506;Barcheta;Omar 
504;Riestra;Antonio 
497;Pradines;Roberto 
462;Ríos;Fabián 
421;Brizuela y Doria;Olga 
346;Pucheta;Ramona 
267;Biella Calvet;Bernardo 
237;De Ferrari Rueda;Patricia 
229;Maldonado;Víctor Hugo
182;Soto;Gladys 
53;Albarracín;Jorge Luis
53;Ferreyra;Araceli 
52;Sacca;Luis 
30;Santillán;Walter 
21;Moyano;Facundo 
14;Cleri;Marcos 
14;Pietraglia Corti;Horacio 
13;Avoscan;Herman 
12;Müller;Edgar 
12;Mongeló;José 
12;Brawer;Mara 
12;Ianni;Ana María
11;Fernández Sagasti;Anabel 
11;Martínez;Oscar 
11;Catalán Magni;Julio César
10;Grosso;Leonardo 
8;Metaza;Mario 
7;Larroque;Andrés 
7;Aragón;Santiago 
6;Balcedo;María 
6;Alonso;María Luz
6;Silvina;García Larraburu
6;Rivarola;Rubén 
5;Bianchi;María del Carmen
5;Roberti;Alberto 
4;Aguilar;Lino Walter
4;Carmona;Guillermo 
4;De Pedro;Eduardo 
4;Mendoza;Mayra 
3;Ortiz Correa;Marcia 
