Abdala de Matarazzo,Norma Amanda,Frente Cívico por Santiago,2009-2013,4/13/1948
Acosta,María Julia,Frente para la Victoria - PJ,2007-2011,4/27/1948
Acuña,Hugo Rodolfo,Movimiento Popular Neuquino,2005-2009,4/21/1957
Acuña Kunz,Juan Erwin Bolívar,Unión Cívica Radical,2005-2009,12/2/1954
Agosto,Walter Alfredo,Peronismo Federal,2007-2011,8/15/1963
Aguad,Oscar Raúl,Unión Cívica Radical,2009-2013,5/7/1950
Aguilar,Lino Walter,,2011-2015,9/23/1964
Aguirre de Soria,Hilda Clelia,Frente para la Victoria - PJ,2007-2011,4/11/1960
Albarracín,Jorge Luis,De la Concertación,2005-2009,4/6/1961
Albarracín,Jorge Luis,,2009-2013,4/6/1961
Albrieu,Oscar Edmundo Nicolás,Frente para la Victoria - PJ,2009-2013,1/18/1949
Alcuaz,Horacio Alberto,Generación para un Encuentro Nacional,2007-2011,8/21/1949
Alfaro,Germán Enrique,Frente para la Victoria - PJ,2007-2011,9/21/1965
Alfonsín,Ricardo Luis,Unión Cívica Radical,2009-2013,11/5/1951
Alizegui,Antonio Aníbal,Frente para la Victoria - PJ,2007-2011,11/24/1947
Alonso,Gumersindo Federico,Frente Cívico - Córdoba,2009-2013,4/7/1949
Alonso,Laura,Propuesta Republicana,2009-2013,12/23/1972
Alonso,María Luz,,2011-2015,8/7/1985
Álvarez,Juan José,Peronista,2007-2011,5/25/1955
Álvarez,Elsa María,Unión Cívica Radical,2009-2013,5/5/1957
Álvarez Rodríguez,María Cristina,,2011-2015,
Álvarez Stub,Jorge Mario,Unión Cívica Radical,2009-2013,8/15/1958
Álvaro,Héctor Jorge,De la Concertación,2007-2011,7/2/1948
Amadeo,Eduardo Pablo,Peronismo Federal,2009-2013,5/1/1947
Amenta,Marcelo Eduardo,Recrear,2005-2009,11/29/1965
Aragón,Santiago Diego,,2011-2015,
Arbo,José Ameghino,Partido Liberal de Corrientes,2007-2011,11/10/1950
Ardid,Mario Rolando,Nuevo contra Corrupción p/ Honestidad,2005-2009,10/26/1942
Arena,Celia Isabel,Peronismo Federal,2009-2013,12/17/1964
Areta,María Josefa,Frente de Todos,2007-2011,2/14/1950
Argüello,Octavio,Frente para la Victoria - PJ,2007-2011,1/21/1962
Argumedo,Alcira Susana,Movimiento Proyecto Sur,2009-2013,5/7/1940
Arregui,Andrés Roberto,,2011-2015,6/14/1962
Arriaga,Julio Esteban,Frente para la Victoria - PJ,2005-2009,8/23/1949
Asef,Daniel Edgardo,Peronista Córdoba Ciudadana,2007-2011,
Aspiazu,Lucio Bernardo,Unión Cívica Radical,2009-2013,3/22/1959
Asseff,Alberto Emilio,,2011-2015,10/31/1942
Atanasof,Alfredo Néstor,Peronismo Federal,2009-2013,11/24/1949
Augsburger,Silvia,Partido Socialista,2005-2009,5/31/1962
Avoscán,Herman Horacio,,2011-2015,6/3/1962
Azcoiti,Pedro José,Unión Cívica Radical,2005-2009,9/16/1955
Baladrón,Manuel Justo,Frente para la Victoria - PJ,2005-2009,12/31/1945
Balcedo,María Ester,,2011-2015,10/20/1949
Baldata,Griselda Ángela,Coalición Cívica - Ari,2007-2011,1/18/1952
Balestrini,Alberto Edgardo,,2005-2009,3/9/1946
Baragiola,Vilma Rosana,Unión Cívica Radical,2005-2009,11/5/1967
Barbieri,Mario Leandro,Unión Cívica Radical,2009-2013,9/29/1959
Barchetta,Omar Segundo,,2011-2015,7/14/1951
Barchetta,Omar Segundo,,2011-2015,7/14/1951
Barrandeguy,Raúl Enrique,Frente para la Victoria - PJ,2009-2013,12/26/1944
Barrionuevo,José Luis,Frente para la Victoria - PJ,2005-2009,
Barrios,Miguel Ángel,Partido Socialista,2007-2011,7/5/1949
Basteiro,Sergio Ariel,Nuevo Encuentro,2007-2011,9/23/1960
Basterra,Luis Eugenio,,2011-2015,
Bayonzo,Liliana Amelia,Unión Cívica Radical,2005-2009,6/2/1955
Bazze,Miguel Ángel,,2011-2015,4/30/1955
Bedano de Accastello,Nora Esther,Frente para la Victoria - PJ,2007-2011,4/24/1960
Bedano de Accastello,Nora Esther,,2011-2015,4/24/1960
Belous,Nélida,Proyecto Progresista,2007-2011,10/7/1959
Benas,Verónica Claudia,Solidaridad e Igualdad por la Unidad Popular,2007-2011,2/11/1961
Benedetti,Atilio Francisco Salvador,Unión Cívica Radical,2009-2013,1/1/1955
Bernal,María Eugenia,Frente para la Victoria - PJ,2009-2013,4/18/1959
Bernazza,Claudia Alicia,Frente para la Victoria - PJ,2005-2009,6/12/1960
Berraute,Ana,Frente para la Victoria - PJ,2005-2009,9/13/1946
Bertol,Paula María,Propuesta Republicana,2005-2009,2/22/1965
Bertol,Paula María,Propuesta Republicana,2009-2013,2/22/1965
Bertone,Rosana Andrea,Frente para la Victoria - PJ,2005-2009,5/9/1972
Bertone,Rosana Andrea,Frente para la Victoria - PJ,2009-2013,5/9/1972
Beveraggi,Margarita Beatriz,Unión Cívica Radical,2005-2009,6/16/1964
Bianchi,Ivana María,Peronismo Federal,2007-2011,6/22/1965
Bianchi,María del Carmen,,2011-2015,10/8/1948
Bianchi,Ivana María,,2011-2015,6/22/1965
Bianchi Silvestre,Marcela Alejandra,Frente para la Victoria - PJ,2005-2009,2/8/1959
Bianco,Lía Fabiola,Frente para la Victoria - PJ,2005-2009,9/10/1966
Bidegain,Gloria,Frente para la Victoria - PJ,2007-2011,
Bidegain,Gloria,,2011-2015,
Biella Calvet,Bernardo José,,2011-2015,1/31/1963
Bisutti,Delia Beatriz,Afirmación para una República Igualitaria,2005-2009,3/31/1947
Blanco de Peralta,Blanca,Frente para la Victoria - PJ,2009-2013,6/4/1961
Bonasso,Miguel Luis,Diálogo por Buenos Aires,2007-2011,5/17/1940
Brawer,Mara,,2011-2015,5/12/1962
Brillo,José Ricardo,Movimiento Popular Neuquino,2005-2009,2/2/1952
Brillo,José Ricardo,Movimiento Popular Neuquino,2009-2013,2/2/1952
Brizuela y Doria de Cara,Olga Inés,,2011-2015,4/11/1971
Bromberg,Isaac Benjamín,,2011-2015,1/8/1953
Brue,Daniel Agustín,Frente Cívico por Santiago,2005-2009,12/28/1964
Brue,Daniel Agustín,Frente Cívico por Santiago,2009-2013,12/28/1964
Bullrich,Patricia,Alianza Coalición Cívica,2007-2011,6/11/1956
Bullrich,Esteban José,Propuesta Republicana,2005-2009,5/26/1969
Bullrich,Esteban José,Propuesta Republicana,2009-2013,5/26/1969
Bullrich,Patricia,,2011-2015,6/11/1956
Buryaile,Ricardo,Unión Cívica Radical,2009-2013,11/29/1962
Burzaco,Eugenio,Propuesta Republicana,2005-2009,1/22/1971
Calcagno y Maillman,Eric,,2011-2015,4/9/1967
Calchaquí,Mariel,Frente para la Victoria - PJ,2007-2011,2/29/1968
Calza,Nelio Higinio,Frente para la Victoria - PJ,2005-2009,9/6/1963
Camaño,Graciela,Peronista,2007-2011,4/25/1953
Camaño,Dante Alberto,Nacional Sindical,2005-2009,2/9/1952
Camaño,Graciela,,2011-2015,4/25/1953
Canela,Susana Mercedes,Frente para la Victoria - PJ,2005-2009,9/24/1949
Cantero Gutiérrez,Alberto,Frente para la Victoria - PJ,2005-2009,1/18/1944
Carca,Elisa Beatriz,Coalición Cívica - Ari,2007-2011,3/15/1953
Cardelli,Jorge Justo,Movimiento Proyecto Sur,2009-2013,11/2/1947
Carlotto,Remo Gerardo,Frente para la Victoria - PJ,2005-2009,12/21/1962
Carlotto,Remo Gerardo,Frente para la Victoria - PJ,2009-2013,12/21/1962
Carmona,María Araceli,Frente para la Victoria - PJ,2005-2009,1/26/1955
Carmona,Guillermo Ramón,,2011-2015,6/26/1967
Carranza,Carlos Alberto,Peronismo Federal,2009-2013,8/24/1954
Carrió,Elisa María Avelina,Acuerdo Cívico y Social,2009-2013,12/26/1957
Casañas,Juan Francisco,Unión Cívica Radical,2009-2013,4/30/1964
Caselles,Graciela María,Frente para la Victoria - PJ,2007-2011,11/5/1966
Caselles,Graciela María,,2011-2015,11/5/1966
Castaldo,Norah Susana,Unión Cívica Radical,2007-2011,4/24/1942
Castañón,Hugo,Unión Cívica Radical,2009-2013,2/2/1959
Catalán Magni,Julio César,,2011-2015,8/14/1968
Cejas,Jorge Alberto,Frente para la Victoria - PJ,2007-2011,8/31/1952
Cejas,Jorge Alberto,,2011-2015,8/31/1952
César,Nora Noemí,Frente para la Victoria - PJ,2005-2009,
Chemes,Jorge Omar,Unión Cívica Radical,2009-2013,4/9/1956
Chieno,María Elena Petrona,Frente para la Victoria - PJ,2009-2013,8/14/1954
Chiquichano,Rosa Laudelina,Frente para la Victoria - PJ,2007-2011,8/30/1947
Ciampini,José Alberto,,2011-2015,11/7/1953
Ciciliani,Alicia Mabel,Partido Socialista,2009-2013,2/9/1956
Cigogna,Luis Francisco Jorge,Frente para la Victoria - PJ,2009-2013,2/1/1945
Cigogna,Luis Francisco Jorge,Frente para la Victoria - PJ,2005-2009,2/1/1945
Cleri,Marcos,,2011-2015,1/12/1982
